	SC		MSM		MSM-Lite		EUML		sinelabore		Qm		StateForge		Mine		Umple		Event B	
Time	5547	739	3486	39	724	95	4037	92	151	121	154	114			32	13,435				
	5224	745	4114	45	629	69	4077	173	91	80	152	118			43	2,023				
	5257	771	3611	52	401	83	4117	146	96	76	140	92			42	1,792				
	5535	895	3503	40	511	71	4087	125	87	78	150	91			33	8,308				
	5368	911	3607	56	441	73	4139	21	95	122	122	104			27	0,629				
	5279	867	3820	53	440	56	4338	155	104	86	138	97			42	0,647				
	5373	897	3726	47	568	76	4292	68	91	87	142	98			34	0,704				
	5261	1013	3618	52	615	67	4302	72	98	77	146	94			38	0,633				
	5338	819	3524	50	431	82	5010	99	105	79	147	92			28	0,63				
	5504	1003	3544	48	551	28	4418	102	98	75	125	93			29	0,631				
	5260	739	3513	38	464	79	4183	52	101	90	145	99			32	0,802				
	5271	745	3584	44	445	73	4192	106	91	95	129	91			51	0,707				
	5412	766	3219	41	490	83	4140	136	113	87	144	81			22	0,71				
	5560	901	3549	43	415	50	4101	99	97	74	165	92			39	0,628				
	5334	1014	3546	55	420	82	4309	58	96	73	149	111			38	0,623				
	5365	817	3612	47	560	81	4304	88	127	95	129	123			30	0,561				
	5309	745	3370	50	491	86	4180	81	89	81	139	88			55	0,631				
	5346	747	3493	47	676	48	4186	99	98	92	131	110			28	0,669				
	5340	738	3591	45	509	65	4178	104	89	81	147	98			31	0,626				
	5357	790	3634	45	428	21	4259	96	115	79	163	94			45	0,623				
	5322	803	3376	44	504	83	4103	73	95	86	143	86			23	0,302				
	5304	764	3501	47	578	39	4203	80	92	77	141	91			43	0,708				
	5298	833	3593	53	755	69	4174	67	94	84	145	112			35	0,608				
	5378	755	3565	39	501	21	4163	99	95	87	152	103			41	0,54				
	5365	784	3208	47	463	66	4228	59	90	74	197	113			41	0,547				
	5379	752	3458	38	499	50	4280	81	90	80	153	92			33	0,863				
	5395	876	3549	48	548	48	4199	47	96	91	168	95			33	0,572				
	5299	808	3572	44	522	61	4218	78	117	87	132	86			43	0,542				
	5291	820	3343	47	429	78	4205	68	104	88	150	83			40	0,547				
	5320	762	3554	58	498	72	4145	145	96	99	149	86			43	0,601				
	5353,033333	820,6333333	3546,1	46,73333333	516,8666667	65,16666667	4225,566667	92,3	100,0333333	86,03333333	146,2333333	97,56666667			36,46666667	1,394733333				
																				
Memory	435832	84368	837392	31096	159200	10888	4304760	92520	16576	10560	23408	21496			21624	10592				
																				
