MSM_O;MLite_O;EUML_O;Sine_N;Sine_O;QM_O;Ours_N;Ours_O
86;71;66;162;73;247;128;18
79;86;104;145;79;234;104;22
76;63;138;124;83;271;100;23
60;77;156;148;75;225;110;41
67;93;151;131;80;232;105;20
77;112;125;134;80;202;97;20
68;37;107;124;70;223;97;21
50;61;55;128;84;270;120;15
65;114;142;135;79;219;100;39
75;147;82;123;77;218;105;18
62;88;124;136;88;234;110;19
107;72;123;166;91;228;93;31
90;48;107;144;88;256;96;32
90;103;180;124;76;222;109;22
62;107;136;133;76;213;92;17
77;73;101;142;84;225;119;22
91;90;115;136;72;218;103;43
65;97;105;151;75;217;105;17
59;87;57;146;82;213;99;24
60;91;105;124;76;215;97;19
61;65;125;127;79;251;105;38
73;72;86;172;81;229;116;22
64;24;79;149;78;217;125;27
57;37;125;168;98;231;116;39
77;37;73;148;77;219;99;22
70;44;132;162;78;197;109;28
58;86;130;133;89;214;115;23
62;115;118;158;76;265;105;23
61;102;57;129;76;216;125;23
70;82;95;129;78;257;102;33
