MSM_O;Mlite_O;EUML_O;Sine_N;Sine_O;QM_N;QM_O;Ours_N;Ours_O
39;95;92;151;121;154;114;32;13.435
45;69;173;91;80;152;118;43;2.023
52;83;146;96;76;140;92;42;1.792
40;71;125;87;78;150;91;33;8.308
56;73;21;95;122;122;104;27;0.629
53;56;155;104;86;138;97;42;0.647
47;76;68;91;87;142;98;34;0.704
52;67;72;98;77;146;94;38;0.633
50;82;99;105;79;147;92;28;0.63
48;28;102;98;75;125;93;29;0.631
38;79;52;101;90;145;99;32;0.802
44;73;106;91;95;129;91;51;0.707
41;83;136;113;87;144;81;22;0.71
43;50;99;97;74;165;92;39;0.628
55;82;58;96;73;149;111;38;0.623
47;81;88;127;95;129;123;30;0.561
50;86;81;89;81;139;88;55;0.631
47;48;99;98;92;131;110;28;0.669
45;65;104;89;81;147;98;31;0.626
45;21;96;115;79;163;94;45;0.623
44;83;73;95;86;143;86;23;0.302
47;39;80;92;77;141;91;43;0.708
53;69;67;94;84;145;112;35;0.608
39;21;99;95;87;152;103;41;0.54
47;66;59;90;74;197;113;41;0.547
38;50;81;90;80;153;92;33;0.863
48;48;47;96;91;168;95;33;0.572
44;61;78;117;87;132;86;43;0.542
47;78;68;104;88;150;83;40;0.547
58;72;145;96;99;149;86;43;0.601
